count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
80968,2018,7,"East of England",129,Peterborough,A1139,Major,"A1139 spur","A1139 spur",519580,295940,52.54818400,-0.23792414,0.70,0.43,Estimated,"Estimated using previous year's AADF on this link",0,225,34809,58,7564,826,233,270,116,965,1941,4351,47007
81585,2018,7,"East of England",129,Peterborough,A47,Major,A15,A16,520206,302402,52.60611207,-0.22635490,0.70,0.43,Estimated,"Estimated using previous year's AADF on this link",1,200,27909,60,5165,834,170,202,123,614,1588,3530,36865
80965,2018,7,"East of England",129,Peterborough,A1139,Major,"A1139 spur","A605 spur",519610,295920,52.54799800,-0.23748914,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",9,45,5248,17,1369,165,27,29,51,86,148,507,7187
46222,2018,7,"East of England",129,Peterborough,A15,Major,"Westfield Road roundabout","Maskew Ave roundabout",518400,300000,52.58492300,-0.25386894,0.80,0.50,Estimated,"Estimated using previous year's AADF on this link",17,169,22440,128,2055,76,18,20,4,8,3,127,24919
80467,2018,7,"East of England",129,Peterborough,A605,Major,A605,A1139,520171,296346,52.55170200,-0.22906600,0.40,0.25,Estimated,"Estimated from nearby links",100,90,10717,143,1723,159,35,39,16,49,56,355,13027
80964,2018,7,"East of England",129,Peterborough,A605,Major,"A1139 spur","A1139 spur",519960,296170,52.55016700,-0.23223993,0.70,0.43,Estimated,"Estimated using previous year's AADF on this link",1,34,6276,22,1365,157,12,15,4,14,30,234,7930
56096,2018,7,"East of England",129,Peterborough,A1139,Major,"A1139 Orton Parkway",A1260,516000,294840,52.53907300,-0.29107825,2.90,1.80,Counted,"Manual count",10,245,44381,70,8724,1199,484,502,170,488,3070,5913,59333
85001,2018,7,"East of England",129,Peterborough,A47,Major,A15/A1139,A1139,521400,302480,52.60654600,-0.20870393,1.60,0.99,Estimated,"Estimated using previous year's AADF on this link",2,54,10355,48,1858,337,73,114,102,290,535,1451,13766
99373,2018,7,"East of England",129,Peterborough,A47,Major,A1139,A1073,522600,303000,52.61095087,-0.19080029,1.80,1.12,Estimated,"Estimated using previous year's AADF on this link",1,107,19233,89,3739,711,91,204,95,720,597,2419,25587
81050,2018,7,"East of England",129,Peterborough,A47,Major,"Thorney Road","LA Boundary",529681,304681,52.62441000,-0.08562661,11.00,6.84,Counted,"Automatic counter",0,58,13388,67,4427,637,84,130,116,533,761,2261,20202
77183,2018,7,"East of England",129,Peterborough,A47,Major,A15,"Fulbridge Road roundabout",518500,301780,52.60089600,-0.25175715,1.20,0.75,Estimated,"Estimated using previous year's AADF on this link",0,155,25093,96,4560,675,155,205,66,220,666,1986,31890
99948,2018,7,"East of England",129,Peterborough,A605,Major,"A605 split",A1139,514000,296030,52.55018800,-0.32014497,1.30,0.81,Counted,"Manual count",59,53,9712,13,808,49,13,2,3,4,10,80,10666
80958,2018,7,"East of England",129,Peterborough,A1139,Major,"A605 spur",A1139,520140,296500,52.55309300,-0.22946727,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",0,78,5818,13,1196,80,26,4,5,7,37,158,7262
81508,2018,7,"East of England",129,Peterborough,A605,Major,"Stranhan Way roundabout before on slip for fletton Park","LA Boundary",522500,296170,52.54960200,-0.19479956,3.80,2.36,Counted,"Manual count",36,129,11060,69,1971,189,63,109,10,341,273,984,14213
80972,2018,7,"East of England",129,Peterborough,A1139,Major,A1139,"A605 spur",519460,295970,52.54848000,-0.23968214,0.50,0.31,Estimated,"Estimated from nearby links",39,104,10314,82,2040,231,56,79,39,108,130,642,13181
80971,2018,7,"East of England",129,Peterborough,A1139,Major,A1139,"A1139 link to A605 spur",519470,295920,52.54802800,-0.23955272,0.40,0.25,Estimated,"Estimated from nearby links",41,110,10973,87,2170,245,60,84,41,115,138,683,14023
80970,2018,7,"East of England",129,Peterborough,A1139,Major,"A605 spur",A1139,519760,296000,52.54868300,-0.23524932,0.30,0.19,Estimated,"Estimated from nearby links",0,15,1851,1,407,48,12,14,8,27,115,223,2496
56517,2018,7,"East of England",129,Peterborough,A47,Major,A1260,A15,516555,300185,52.58698400,-0.28102234,4.00,2.49,Counted,"Automatic counter",0,211,40890,75,6340,811,104,153,88,267,731,2154,49671
57821,2018,7,"East of England",129,Peterborough,A1139,Major,"A1139 spur",A15,521050,300561,52.58938100,-0.21457094,5.40,3.36,Counted,"Manual count",0,333,30031,47,5173,668,193,256,69,398,1901,3485,39069
80967,2018,7,"East of England",129,Peterborough,A1139,Major,"A605 spur","A1139 spur",520170,296500,52.55308600,-0.22902503,0.60,0.37,Estimated,"Estimated from nearby links",39,200,24694,112,4808,578,123,189,93,463,590,2036,31851
