Area,mnemonic,Employees,Employment
lsoa2011:Huntingdonshire 020A,E01018172,300,350
lsoa2011:Huntingdonshire 020B,E01018173,15,20
lsoa2011:Huntingdonshire 020C,E01018174,125,150
lsoa2011:Huntingdonshire 020D,E01018175,175,175
lsoa2011:Huntingdonshire 020E,E01018176,300,300
lsoa2011:Huntingdonshire 021A,E01018181,200,200
lsoa2011:Huntingdonshire 021B,E01018182,125,125
lsoa2011:Huntingdonshire 021C,E01018183,350,350
lsoa2011:Huntingdonshire 021D,E01018184,100,100
lsoa2011:Huntingdonshire 021E,E01018185,250,250
lsoa2011:Huntingdonshire 021F,E01018186,1500,1500
lsoa2011:Huntingdonshire 022A,E01018177,4000,4000
lsoa2011:Huntingdonshire 022B,E01018178,300,300
lsoa2011:Huntingdonshire 022C,E01018179,30,30
lsoa2011:Huntingdonshire 022D,E01018180,40,40
lsoa2011:Peterborough 001A,E01015629,900,1000
lsoa2011:Peterborough 001B,E01015635,225,250
lsoa2011:Peterborough 001C,E01015636,225,250
lsoa2011:Peterborough 001D,E01015679,175,175
lsoa2011:Peterborough 002A,E01015678,50,50
lsoa2011:Peterborough 002B,E01015680,1000,1000
lsoa2011:Peterborough 002C,E01015681,45,50
lsoa2011:Peterborough 002D,E01015682,75,75
lsoa2011:Peterborough 003A,E01015630,400,500
lsoa2011:Peterborough 003B,E01015631,125,125
lsoa2011:Peterborough 003C,E01015659,150,150
lsoa2011:Peterborough 003D,E01015684,175,175
lsoa2011:Peterborough 003E,E01015685,75,100
lsoa2011:Peterborough 004A,E01015589,350,350
lsoa2011:Peterborough 004B,E01015590,300,350
lsoa2011:Peterborough 004C,E01015626,125,150
lsoa2011:Peterborough 004D,E01015628,400,450
lsoa2011:Peterborough 005A,E01015617,350,400
lsoa2011:Peterborough 005B,E01015618,175,200
lsoa2011:Peterborough 005C,E01015619,300,350
lsoa2011:Peterborough 005D,E01015620,300,350
lsoa2011:Peterborough 006A,E01015674,75,100
lsoa2011:Peterborough 006B,E01015675,75,100
lsoa2011:Peterborough 006C,E01015676,1000,1000
lsoa2011:Peterborough 006D,E01015683,250,300
lsoa2011:Peterborough 006E,E01015686,3000,3000
lsoa2011:Peterborough 007A,E01015607,150,150
lsoa2011:Peterborough 007B,E01015609,175,175
lsoa2011:Peterborough 007C,E01015656,75,100
lsoa2011:Peterborough 007D,E01015657,700,700
lsoa2011:Peterborough 007E,E01015658,200,200
lsoa2011:Peterborough 007F,E01015660,100,100
lsoa2011:Peterborough 008A,E01015605,175,200
lsoa2011:Peterborough 008B,E01015608,100,100
lsoa2011:Peterborough 008C,E01015610,45,50
lsoa2011:Peterborough 008D,E01015633,125,150
lsoa2011:Peterborough 008E,E01015634,150,150
lsoa2011:Peterborough 009A,E01015593,1250,1250
lsoa2011:Peterborough 009B,E01015596,250,250
lsoa2011:Peterborough 009C,E01015662,30,30
lsoa2011:Peterborough 009D,E01015663,4000,4000
lsoa2011:Peterborough 009E,E01015664,100,100
lsoa2011:Peterborough 010A,E01015603,1250,1250
lsoa2011:Peterborough 010B,E01015604,150,150
lsoa2011:Peterborough 010C,E01015632,600,600
lsoa2011:Peterborough 010D,E01015661,2250,2500
lsoa2011:Peterborough 010E,E01015677,900,1000
lsoa2011:Peterborough 011A,E01015591,75,75
lsoa2011:Peterborough 011B,E01015592,175,175
lsoa2011:Peterborough 011C,E01015594,2000,2000
lsoa2011:Peterborough 011D,E01015595,150,150
lsoa2011:Peterborough 011E,E01015597,40,40
lsoa2011:Peterborough 012A,E01015601,700,700
lsoa2011:Peterborough 012B,E01015651,175,200
lsoa2011:Peterborough 012C,E01015652,450,450
lsoa2011:Peterborough 012D,E01015653,900,900
lsoa2011:Peterborough 012E,E01015654,1000,1000
lsoa2011:Peterborough 013A,E01015606,200,225
lsoa2011:Peterborough 013B,E01015611,2500,2500
lsoa2011:Peterborough 013C,E01015613,150,150
lsoa2011:Peterborough 013D,E01015614,2500,2500
lsoa2011:Peterborough 013E,E01015615,350,350
lsoa2011:Peterborough 013F,E01015616,9000,9000
lsoa2011:Peterborough 014A,E01015599,14000,14000
lsoa2011:Peterborough 014B,E01015600,300,350
lsoa2011:Peterborough 014C,E01015602,3500,4000
lsoa2011:Peterborough 014D,E01015612,600,600
lsoa2011:Peterborough 014E,E01015655,600,600
lsoa2011:Peterborough 015A,E01015598,350,350
lsoa2011:Peterborough 015B,E01015687,500,500
lsoa2011:Peterborough 015C,E01015689,3000,3500
lsoa2011:Peterborough 015D,E01015690,225,250
lsoa2011:Peterborough 015E,E01015691,6000,6000
lsoa2011:Peterborough 016A,E01015622,1000,1000
lsoa2011:Peterborough 016C,E01015665,150,150
lsoa2011:Peterborough 016D,E01015688,1750,1750
lsoa2011:Peterborough 016E,E01015692,200,225
lsoa2011:Peterborough 016F,E01033173,600,600
lsoa2011:Peterborough 016G,E01033182,75,75
lsoa2011:Peterborough 017A,E01015621,700,800
lsoa2011:Peterborough 017B,E01015623,150,150
lsoa2011:Peterborough 017C,E01015624,40,50
lsoa2011:Peterborough 017D,E01015666,175,200
lsoa2011:Peterborough 017E,E01015668,1500,1500
lsoa2011:Peterborough 018A,E01015627,450,450
lsoa2011:Peterborough 018B,E01015644,9000,9000
lsoa2011:Peterborough 018C,E01015645,500,500
lsoa2011:Peterborough 018D,E01015646,250,300
lsoa2011:Peterborough 018E,E01015648,3500,3500
lsoa2011:Peterborough 019A,E01015667,150,150
lsoa2011:Peterborough 019B,E01015669,1000,1000
lsoa2011:Peterborough 019C,E01015670,75,100
lsoa2011:Peterborough 019D,E01015671,3500,3500
lsoa2011:Peterborough 019E,E01015672,75,75
lsoa2011:Peterborough 019F,E01015673,75,75
lsoa2011:Peterborough 021A,E01015637,75,75
lsoa2011:Peterborough 021B,E01015639,225,225
lsoa2011:Peterborough 021C,E01015640,50,50
lsoa2011:Peterborough 021D,E01015641,100,100
lsoa2011:Peterborough 021E,E01015642,250,250
lsoa2011:Peterborough 021F,E01015647,3500,3500
lsoa2011:Peterborough 022A,E01015638,1250,1250
lsoa2011:Peterborough 022B,E01015650,2000,2250
lsoa2011:Peterborough 022C,E01033174,2500,2500
lsoa2011:Peterborough 022D,E01033179,3000,3000
lsoa2011:Peterborough 022E,E01033181,1250,1250
lsoa2011:Peterborough 023A,E01015643,45,45
lsoa2011:Peterborough 023B,E01033175,75,75
lsoa2011:Peterborough 023C,E01033176,600,600
lsoa2011:Peterborough 023D,E01033177,500,500
lsoa2011:Peterborough 023E,E01033178,400,400
lsoa2011:Peterborough 023F,E01033180,350,350
lsoa2011:South Cambridgeshire 001A,E01018304,450,450
lsoa2011:South Cambridgeshire 001B,E01018305,175,225
lsoa2011:South Cambridgeshire 001C,E01018306,500,500
lsoa2011:South Cambridgeshire 001D,E01018307,350,350
lsoa2011:South Cambridgeshire 002A,E01018233,900,900
lsoa2011:South Cambridgeshire 002B,E01018234,600,600
lsoa2011:South Cambridgeshire 002C,E01018235,200,225
lsoa2011:South Cambridgeshire 002D,E01018236,500,500
lsoa2011:South Cambridgeshire 003A,E01018237,700,800
lsoa2011:South Cambridgeshire 003B,E01018266,1250,1500
lsoa2011:South Cambridgeshire 003C,E01018284,1750,1750
lsoa2011:South Cambridgeshire 003D,E01018285,300,300
lsoa2011:South Cambridgeshire 004A,E01018298,200,225
lsoa2011:South Cambridgeshire 004B,E01018299,2000,2000
lsoa2011:South Cambridgeshire 004C,E01018300,2500,2500
lsoa2011:South Cambridgeshire 004D,E01018301,175,200
lsoa2011:South Cambridgeshire 005A,E01018221,100,100
lsoa2011:South Cambridgeshire 005B,E01018222,100,125
lsoa2011:South Cambridgeshire 005C,E01018223,3500,3500
lsoa2011:South Cambridgeshire 006A,E01018257,50,75
lsoa2011:South Cambridgeshire 006B,E01018258,75,100
lsoa2011:South Cambridgeshire 006C,E01018259,1250,1250
